n11669921,0,n11992806,0
n11992806,0,n11669921,0
n10499355,0,n10083823,0
n10083823,0,n10499355,0
n02103406,0,n02084071,0
n02084071,0,n02103406,0
n10668450,0,n10525134,0
n10525134,0,n10668450,0
n03522863,0,n03091374,0
n03091374,0,n03522863,0
n12992868,0,n12987056,0
n12987056,0,n12992868,0
n12493208,0,n12493426,0
n12493426,0,n12493208,0
n12526178,0,n12205694,0
n12205694,0,n12526178,0
n07557434,0,n07806221,0
n07806221,0,n07557434,0
n07762244,0,n07705931,0
n07705931,0,n07762244,0
n09738400,0,n09720256,0
n09720256,0,n09738400,0
n04560113,0,n04388743,0
n04388743,0,n04560113,0
n07933799,0,n07933274,0
n07933274,0,n07933799,0
n12545232,0,n13118707,0
n13118707,0,n12545232,0
n02026059,0,n02028175,0
n02028175,0,n02026059,0
n07825972,0,n07810907,0
n07810907,0,n07825972,0
n07803545,0,n07802417,0
n07802417,0,n07803545,0
n07884567,0,n07891433,0
n07891433,0,n07884567,0
n02583567,0,n02584145,0
n02584145,0,n02583567,0
n11915214,0,n11669921,0
n11669921,0,n11915214,0
n02283201,0,n02288789,0
n02288789,0,n02283201,0
n03967562,0,n03780047,0
n03780047,0,n03967562,0
n07921615,0,n07921455,0
n07921455,0,n07921615,0
n02402175,0,n02405440,0
n02405440,0,n02402175,0
n09381242,0,n09416076,0
n09416076,0,n09381242,0
n02241569,0,n02244173,0
n02244173,0,n02241569,0
n01732244,0,n01727646,0
n01727646,0,n01732244,0
n04105893,0,n04546855,0
n04546855,0,n04105893,0
n12708293,0,n12710693,0
n12710693,0,n12708293,0
n02423589,0,n02423022,0
n02423022,0,n02423589,0
n15090742,0,n15091846,0
n15091846,0,n15090742,0
n02431976,0,n02430045,0
n02430045,0,n02431976,0
n11838413,0,n11672400,0
n11672400,0,n11838413,0
n01610955,0,n01611472,0
n01611472,0,n01610955,0
n09632518,0,n00007846,0
n00007846,0,n09632518,0
n13194572,0,n11545714,0
n11545714,0,n13194572,0
n02726305,0,n03546340,0
n03546340,0,n02726305,0
n11545714,0,n13208705,0
n13208705,0,n11545714,0
n09917214,0,n10317007,0
n10317007,0,n09917214,0
n12335664,0,n12334891,0
n12334891,0,n12335664,0
n02562315,0,n02554730,0
n02554730,0,n02562315,0
n02521646,0,n02523110,0
n02523110,0,n02521646,0
n04014297,0,n04187233,0
n04187233,0,n04014297,0
n13230662,0,n11545714,0
n11545714,0,n13230662,0
n04405907,0,n04404412,0
n04404412,0,n04405907,0
n02760658,0,n02760429,0
n02760429,0,n02760658,0
n02596067,0,n02594250,0
n02594250,0,n02596067,0
n03903424,0,n03055159,0
n03055159,0,n03903424,0
n03177165,0,n03113152,0
n03113152,0,n03177165,0
n00007846,0,n10560637,0
n10560637,0,n00007846,0
n04063868,0,n04391838,0
n04391838,0,n04063868,0
n02298541,0,n02299846,0
n02299846,0,n02298541,0
n10703336,0,n00007846,0
n00007846,0,n10703336,0
n13104059,0,n13108662,0
n13108662,0,n13104059,0
n03478589,0,n03764276,0
n03764276,0,n03478589,0
n03259505,0,n02821627,0
n02821627,0,n03259505,0
n03661340,0,n04453910,0
n04453910,0,n03661340,0
n02288789,0,n02289610,0
n02289610,0,n02288789,0
n12822769,0,n12822955,0
n12822955,0,n12822769,0
n12911440,0,n07734555,0
n07734555,0,n12911440,0
n04238321,0,n04489008,0
n04489008,0,n04238321,0
n01945845,0,n01942177,0
n01942177,0,n01945845,0
n01822602,0,n01503061,0
n01503061,0,n01822602,0
n12334891,0,n12334293,0
n12334293,0,n12334891,0
n03760671,0,n03709206,0
n03709206,0,n03760671,0
n09989502,0,n09990777,0
n09990777,0,n09989502,0
n04961691,0,n04962240,0
n04962240,0,n04961691,0
n04404412,0,n06277280,0
n06277280,0,n04404412,0
n12730544,0,n12724942,0
n12724942,0,n12730544,0
n04249415,0,n03249569,0
n03249569,0,n04249415,0
n12288823,0,n07772788,0
n07772788,0,n12288823,0
n13104059,0,n12690653,0
n12690653,0,n13104059,0
n04275661,0,n04199027,0
n04199027,0,n04275661,0
n02246011,0,n02259212,0
n02259212,0,n02246011,0
n12399132,0,n12651821,0
n12651821,0,n12399132,0
n12582231,0,n12594989,0
n12594989,0,n12582231,0
n10568200,0,n00475787,0
n00475787,0,n10568200,0
n12485981,0,n13100677,0
n13100677,0,n12485981,0
n11689483,0,n11689678,0
n11689678,0,n11689483,0
n01482071,0,n01482330,0
n01482330,0,n01482071,0
n10162194,0,n00007846,0
n00007846,0,n10162194,0
n10618685,0,n10740868,0
n10740868,0,n10618685,0
n07901587,0,n07905474,0
n07905474,0,n07901587,0
n07557165,0,n07594840,0
n07594840,0,n07557165,0
n11940349,0,n11940006,0
n11940006,0,n11940349,0
n11894558,0,n13085113,0
n13085113,0,n11894558,0
n04531098,0,n02795169,0
n02795169,0,n04531098,0
n02416519,0,n02417534,0
n02417534,0,n02416519,0
n02359915,0,n02355227,0
n02355227,0,n02359915,0
n10017422,0,n10053808,0
n10053808,0,n10017422,0
n01829869,0,n01825930,0
n01825930,0,n01829869,0
n10562283,0,n10276045,0
n10276045,0,n10562283,0
n01323599,0,n00015388,0
n00015388,0,n01323599,0
n12578626,0,n12578916,0
n12578916,0,n12578626,0
n03666591,0,n03031422,0
n03031422,0,n03666591,0
n02687821,0,n02692232,0
n02692232,0,n02687821,0
n02515713,0,n02515214,0
n02515214,0,n02515713,0
n11747468,0,n12539306,0
n12539306,0,n11747468,0
n07907548,0,n07909593,0
n07909593,0,n07907548,0
n00007846,0,n10253122,0
n10253122,0,n00007846,0
n02377480,0,n02374451,0
n02374451,0,n02377480,0
n02729965,0,n03437581,0
n03437581,0,n02729965,0
n02082056,0,n01886756,0
n01886756,0,n02082056,0
n03929202,0,n03265032,0
n03265032,0,n03929202,0
n07705931,0,n07751451,0
n07751451,0,n07705931,0
n09830629,0,n02769748,0
n02769748,0,n09830629,0
n10540656,0,n00007846,0
n00007846,0,n10540656,0
n03868863,0,n02731629,0
n02731629,0,n03868863,0
n02513560,0,n01321579,0
n01321579,0,n02513560,0
n03419014,0,n04508163,0
n04508163,0,n03419014,0
n03058949,0,n03058107,0
n03058107,0,n03058949,0
n04413151,0,n02714535,0
n02714535,0,n04413151,0
n02769748,0,n02773037,0
n02773037,0,n02769748,0
n02799897,0,n04285146,0
n04285146,0,n02799897,0
n03790512,0,n03791235,0
n03791235,0,n03790512,0
n03379828,0,n02898711,0
n02898711,0,n03379828,0
n07919310,0,n07881800,0
n07881800,0,n07919310,0
n03719053,0,n03718458,0
n03718458,0,n03719053,0
n10702167,0,n00007846,0
n00007846,0,n10702167,0
n12939479,0,n12939104,0
n12939104,0,n12939479,0
n00480993,0,n00479076,0
